ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,1957,Graduation,Single," ₹ 58,138.00 ",0.00,0.00,04-09-2012,58.00,635.00,88.00,546.00,172.00,88.00,88.00,3.00,8.00,10.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
2174,1954,Graduation,Single," ₹ 46,344.00 ",1.00,1.00,08-03-2014,38.00,11.00,1.00,6.00,2.00,1.00,6.00,2.00,1.00,1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4141,1965,Graduation,Married," ₹ 71,613.00 ",0.00,0.00,21-08-2013,26.00,426.00,49.00,127.00,111.00,21.00,42.00,1.00,8.00,2.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6182,1984,Graduation,Married," ₹ 26,646.00 ",1.00,0.00,10-02-2014,26.00,11.00,4.00,20.00,10.00,3.00,5.00,2.00,2.00,0.00,4.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5324,1981,PhD,Married," ₹ 58,293.00 ",1.00,0.00,19-01-2014,94.00,173.00,43.00,118.00,46.00,27.00,15.00,5.00,5.00,3.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7446,1967,Master,Married," ₹ 62,513.00 ",0.00,1.00,09-09-2013,16.00,520.00,42.00,98.00,0.00,42.00,14.00,2.00,6.00,4.00,10.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
965,1971,Graduation,Divorced," ₹ 55,635.00 ",0.00,1.00,13-11-2012,34.00,235.00,65.00,164.00,50.00,49.00,27.00,4.00,7.00,3.00,7.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6177,1985,PhD,Married," ₹ 33,454.00 ",1.00,0.00,08-05-2013,32.00,76.00,10.00,56.00,3.00,1.00,23.00,2.00,4.00,0.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4855,1974,PhD,Married," ₹ 30,351.00 ",1.00,0.00,06-06-2013,19.00,14.00,0.00,24.00,3.00,3.00,2.00,1.00,3.00,0.00,2.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
5899,1950,PhD,Married," ₹ 5,648.00 ",1.00,1.00,13-03-2014,68.00,28.00,0.00,6.00,1.00,1.00,13.00,1.00,1.00,0.00,0.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
